symbol,date,close,K,D,DIF,MACD,OSC,RSI,OBV,MA3,MA6,MA12
8942,2026-09-01,41.0,50.9,43.7,-2.798,-3.343,0.545,46.6,941849012.0,39.92,40.4,38.08
8996,2026-09-01,1235.0,63.5,70.6,241.463,185.74,55.723,62.0,110654918447.0,1088.33,1192.5,944.0
9103,2026-09-01,4.96,32.9,35.8,-0.484,-0.594,0.11,44.1,5788786583804.0,5.04,5.04,5.11
910322,2026-09-01,24.0,54.7,55.6,1.032,0.977,0.055,54.6,34634281.0,24.55,23.42,23.32
9105,2026-09-01,8.38,41.6,42.9,0.912,0.735,0.178,61.6,188109323783.0,8.38,8.18,6.99
910861,2026-09-01,3.99,12.4,15.2,-0.535,-0.381,-0.154,38.9,-229066767.0,3.87,4.07,4.66
9110,2026-09-01,3.03,34.4,27.4,-0.806,-0.737,-0.069,31.8,-162414485.0,3.1,3.04,3.09
911608,2026-09-01,2.72,30.4,30.5,-0.109,-0.096,-0.013,45.8,-52646029.0,2.69,2.72,2.76
911622,2026-09-01,3.56,14.7,20.9,-0.35,-0.352,0.002,33.6,-116029141.0,3.6,3.64,3.81
911868,2026-09-01,1.15,14.0,21.3,-0.043,-0.026,-0.018,40.6,-338541578.0,1.17,1.22,1.25
912000,2026-09-01,2.47,27.8,30.0,-0.056,-0.017,-0.039,46.0,97306670.0,2.51,2.53,2.63
9136,2026-09-01,9.39,38.8,50.4,1.187,0.903,0.283,53.0,564675965.0,10.53,11.49,9.6
9802,2026-09-01,64.0,5.5,8.6,-10.08,-7.579,-2.502,33.3,836296055.0,67.37,69.36,79.59
9902,2026-09-01,13.3,10.5,15.1,-0.41,0.06,-0.47,42.8,20247032173.0,13.55,13.8,15.11
9904,2026-09-01,24.05,12.2,15.1,-1.408,-0.894,-0.514,37.3,7511056398566.0,24.28,24.24,26.33
9905,2026-09-01,21.25,73.5,58.4,0.096,-0.093,0.189,60.4,1243588558.0,21.13,20.59,19.94
9906,2026-09-01,38.55,32.1,23.0,-10.225,-8.292,-1.933,38.5,497546777.0,39.51,38.59,41.86
9907,2026-09-01,15.0,17.1,20.2,0.191,0.513,-0.322,46.8,18749175631.0,15.08,15.26,16.11
9908,2026-09-01,28.95,19.7,24.1,0.136,0.13,0.006,55.4,-2887631971.0,29.03,28.67,28.72
9910,2026-09-01,67.8,9.2,13.0,-17.199,-14.517,-2.682,28.3,-806543371.0,67.97,67.99,84.76
9911,2026-09-01,81.6,48.2,50.0,3.149,3.871,-0.722,58.9,-265571466938.0,82.17,82.42,81.38
9912,2026-09-01,13.1,61.1,67.0,0.318,0.277,0.041,58.9,2590789440.0,12.93,12.73,12.44
9914,2026-09-01,68.7,39.1,29.8,-23.975,-25.449,1.474,35.7,-3990536766.0,74.88,70.05,75.18
9917,2026-09-01,106.5,63.6,56.6,1.042,0.771,0.271,57.4,27555992272.0,105.44,103.73,100.95
9918,2026-09-01,43.5,27.2,33.3,1.624,1.269,0.355,66.1,1368377879.0,42.92,42.34,41.07
9919,2026-09-01,13.95,5.6,8.3,-1.537,-1.335,-0.202,36.7,1003027276.0,13.85,13.94,15.24
9921,2026-09-01,89.7,47.3,32.1,-21.604,-25.079,3.475,40.8,44234351964.0,91.57,81.06,84.54
9924,2026-09-01,38.0,3.6,7.5,-3.09,-1.708,-1.382,30.6,748399205.0,38.38,39.34,43.1
9925,2026-09-01,39.4,53.1,57.5,0.877,0.955,-0.078,64.5,18804749042.0,39.67,39.08,38.94
9926,2026-09-01,49.5,32.7,31.6,0.394,0.309,0.085,61.1,1801312757.0,49.22,48.25,47.94
9927,2026-09-01,69.6,51.4,37.3,-0.929,0.117,-1.045,46.3,-26301384542.0,69.77,69.07,69.13
9928,2026-09-01,17.6,28.4,33.9,-0.14,-0.235,0.095,47.9,-65564630.0,17.9,17.96,18.04
9929,2026-09-01,10.95,22.3,22.8,-0.809,-0.703,-0.106,39.8,126417865.0,11.13,11.17,10.99
9930,2026-09-01,61.4,21.5,31.9,2.047,3.391,-1.344,47.9,13984681949.0,62.53,64.1,65.36
9931,2026-09-01,33.9,15.8,20.0,0.465,0.335,0.131,57.5,-1140737746.0,33.82,33.37,33.15
9933,2026-09-01,41.2,73.4,69.2,1.502,0.261,1.241,60.7,-16406089240.0,38.03,37.98,34.43
9934,2026-09-01,9.85,45.1,39.6,-0.79,-0.934,0.143,40.9,1154477258961.0,10.47,10.05,9.94
9935,2026-09-01,17.85,43.4,39.4,-0.693,-0.509,-0.184,43.3,9073064879.0,19.03,18.35,18.5
9937,2026-09-01,54.8,29.8,28.3,-0.733,-0.375,-0.358,45.7,4399430709.0,55.33,54.46,54.81
9938,2026-09-01,37.95,10.7,12.4,-4.538,-3.565,-0.973,34.5,884119616346.0,40.81,40.88,44.67
9939,2026-09-01,126.0,56.6,47.3,0.717,1.257,-0.54,52.5,39142958402.0,128.5,121.89,119.06
9940,2026-09-01,19.85,38.4,27.8,-1.618,-1.444,-0.174,36.7,-2592844925.0,20.15,19.51,20.41
9941,2026-09-01,81.6,55.3,35.5,-8.818,-9.998,1.18,44.1,8089646610.0,79.56,75.46,77.01
9942,2026-09-01,113.5,75.4,75.1,3.417,2.562,0.855,59.4,-958819308.0,114.83,112.9,108.51
9943,2026-09-01,50.9,11.4,11.7,-4.239,-3.402,-0.837,26.8,2448802779.0,51.43,52.03,54.04
9944,2026-09-01,17.15,53.5,48.1,-0.405,-0.555,0.15,46.7,4476189646.0,17.37,17.11,16.79
9945,2026-09-01,27.85,53.2,38.8,-2.372,-2.574,0.201,45.3,76075316749.0,27.57,25.56,26.59
9946,2026-09-01,16.9,40.9,35.0,-0.797,-0.792,-0.005,47.7,195173879158.0,16.96,16.51,16.39
9949,2026-09-01,24.1,26.9,41.3,1.601,1.669,-0.068,53.3,42636169.0,23.87,24.23,24.75
